CLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,ABREVIATURA,LONGITUD,LATITUD
1,AGUASCALIENTES,AS,-102,22
2,BAJA CALIFORNIA,BC,-115,32
3,BAJA CALIFORNIA SUR,BS,-110,24
4,CAMPECHE,CC,-90,19
5,COAHUILA,CL,-101,25
6,COLIMA,CM,-103,19
7,CHIAPAS,CS,-93,16
8,CHIHUAHUA,CH,-101,25
9,CIUDAD DE MÉXICO,DF,-99,19
10,DURANGO,DG,-104,24
11,GUANAJUATO,GT,-101,21
12,GUERRERO,GR,-99,17
13,HIDALGO,HG,-98,20
14,JALISCO,JC,-103,20
15,MÉXICO,MC,-99,20
16,MICHOACÁN,MN,-101,19
17,MORELOS,MS,-99,19
18,NAYARIT,NT,-105,21
19,NUEVO LEÓN,NL,-100,25
20,OAXACA,OC,-96,17
21,PUEBLA,PL,-98,19
22,QUERÉTARO,QT,-100,21
23,QUINTANA ROO,QR,-88,19
24,SAN LUIS POTOSÍ,SP,-101,22
25,SINALOA,SL,-107,25
26,SONORA,SR,-110,29
27,TABASCO,TC,-93,18
28,TAMAULIPAS,TS,-99,24
29,TLAXCALA,TL,-98,19
30,VERACRUZ,VZ,-96,19
31,YUCATÁN,YN,-90,21
32,ZACATECAS,ZS,-103,23
36,Total,TO,0,0
